,Stock A,Stock B,Gatev Pairs,EG Pairs,EG Pairs Swap,Johansen Pairs,Count
0,adClose_DXG,adClose_MBB,x,,,,1
1,adClose_DXG,adClose_SSI,x,,,,1
2,adClose_DXG,adClose_STB,x,,,,1
3,adClose_DXG,adClose_VPB,x,,,,1
4,adClose_HAG,adClose_HQC,,,,x,1
5,adClose_HAG,adClose_ITA,,x,,x,2
6,adClose_HAG,adClose_MBB,x,,,,1
7,adClose_HAG,adClose_SHB,,x,,,1
8,adClose_HAG,adClose_VPB,,x,,,1
9,adClose_HQC,adClose_ITA,,,,x,1
10,adClose_HQC,adClose_VPB,,x,,,1
11,adClose_ITA,adClose_MBB,,,,x,1
12,adClose_ITA,adClose_SHB,,x,,x,2
13,adClose_ITA,adClose_SSI,,,,x,1
14,adClose_ITA,adClose_VND,,,,x,1
15,adClose_ITA,adClose_VPB,,,,x,1
16,adClose_MBB,adClose_STB,x,,,,1
17,adClose_MBB,adClose_VND,,,x,,1
18,adClose_MBB,adClose_VPB,x,,,,1
19,adClose_SSI,adClose_STB,x,,,,1
20,adClose_SSI,adClose_VND,x,,,,1
21,adClose_STB,adClose_VND,,x,x,,2
22,adClose_STB,adClose_VPB,x,,,,1
