,Stock A,Stock B,Gatev Pairs,EG Pairs,EG Pairs Swap,Johansen Pairs,Count
0,adClose_DBC,adClose_DLG,x,,,,1
1,adClose_DBC,adClose_HHS,x,,,,1
2,adClose_DBC,adClose_SBT,x,,,,1
3,adClose_DLG,adClose_HHS,x,,,,1
4,adClose_DLG,adClose_HNG,x,,,,1
5,adClose_DLG,adClose_TSC,,,,x,1
6,adClose_HHS,adClose_HNG,x,,,,1
7,adClose_HHS,adClose_SBT,x,,,,1
8,adClose_HHS,adClose_TSC,x,,,x,2
9,adClose_HNG,adClose_SBT,x,,x,,2
10,adClose_HNG,adClose_TSC,,x,,,1
11,adClose_HNG,adClose_TTF,x,,,,1
12,adClose_IDI,adClose_VNM,,,x,x,2
13,adClose_TSC,adClose_TTF,,x,x,x,3
14,adClose_TTF,adClose_VNM,,,,x,1
